task,position,layer_0,layer_2,layer_4,layer_6,layer_8,layer_10,layer_12,layer_14,layer_16,layer_18,layer_20,layer_22,layer_24,layer_26
uppercase,last_demo_token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uppercase,first_query_token,1.0,1.0,0.9333333333333333,0.9333333333333333,0.8666666666666667,1.0,1.0,0.8666666666666667,0.4,0.06666666666666665,0.0,0.0,0.0,0.0
first_letter,last_demo_token,0.0,0.0,0.0,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first_letter,first_query_token,1.0,0.9333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8666666666666667,0.9333333333333333,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0
repeat_word,last_demo_token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repeat_word,first_query_token,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8666666666666667,0.19999999999999996,0.19999999999999996,0.0,0.0
length,last_demo_token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
length,first_query_token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear_2x,last_demo_token,0.06666666666666665,0.0,0.06666666666666665,0.0,0.0,0.06666666666666665,0.0,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
linear_2x,first_query_token,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.4,0.06666666666666665,0.0,0.0,0.0,0.0
sentiment,last_demo_token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sentiment,first_query_token,0.6,0.5333333333333333,0.5333333333333333,0.19999999999999996,0.0,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
antonym,last_demo_token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
antonym,first_query_token,1.0,1.0,0.8666666666666667,0.8,0.8666666666666667,1.0,0.7333333333333334,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0
pattern_completion,last_demo_token,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pattern_completion,first_query_token,0.8666666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
