task,layer,accuracy,drop
uppercase,0,0.0,1.0
uppercase,2,1.0,0.0
uppercase,4,1.0,0.0
uppercase,6,1.0,0.0
uppercase,8,1.0,0.0
uppercase,10,1.0,0.0
uppercase,12,1.0,0.0
uppercase,14,0.9333333333333333,0.06666666666666665
uppercase,16,1.0,0.0
uppercase,18,1.0,0.0
uppercase,20,1.0,0.0
uppercase,22,1.0,0.0
uppercase,24,1.0,0.0
uppercase,26,0.9333333333333333,0.06666666666666665
first_letter,0,0.0,1.0
first_letter,2,0.9333333333333333,0.06666666666666665
first_letter,4,0.8666666666666667,0.1333333333333333
first_letter,6,0.8,0.19999999999999996
first_letter,8,0.8,0.19999999999999996
first_letter,10,0.8,0.19999999999999996
first_letter,12,1.0,0.0
first_letter,14,0.6,0.4
first_letter,16,0.9333333333333333,0.06666666666666665
first_letter,18,1.0,0.0
first_letter,20,0.9333333333333333,0.06666666666666665
first_letter,22,1.0,0.0
first_letter,24,1.0,0.0
first_letter,26,1.0,0.0
repeat_word,0,0.0,1.0
repeat_word,2,0.0,1.0
repeat_word,4,1.0,0.0
repeat_word,6,1.0,0.0
repeat_word,8,1.0,0.0
repeat_word,10,1.0,0.0
repeat_word,12,1.0,0.0
repeat_word,14,1.0,0.0
repeat_word,16,1.0,0.0
repeat_word,18,1.0,0.0
repeat_word,20,1.0,0.0
repeat_word,22,1.0,0.0
repeat_word,24,1.0,0.0
repeat_word,26,1.0,0.0
length,0,0.0,1.0
length,2,1.0,0.0
length,4,1.0,0.0
length,6,1.0,0.0
length,8,1.0,0.0
length,10,1.0,0.0
length,12,1.0,0.0
length,14,1.0,0.0
length,16,1.0,0.0
length,18,1.0,0.0
length,20,1.0,0.0
length,22,1.0,0.0
length,24,1.0,0.0
length,26,1.0,0.0
linear_2x,0,0.0,1.0
linear_2x,2,1.0,0.0
linear_2x,4,1.0,0.0
linear_2x,6,0.8666666666666667,0.1333333333333333
linear_2x,8,0.9333333333333333,0.06666666666666665
linear_2x,10,0.9333333333333333,0.06666666666666665
linear_2x,12,0.9333333333333333,0.06666666666666665
linear_2x,14,1.0,0.0
linear_2x,16,0.8666666666666667,0.1333333333333333
linear_2x,18,1.0,0.0
linear_2x,20,1.0,0.0
linear_2x,22,1.0,0.0
linear_2x,24,1.0,0.0
linear_2x,26,1.0,0.0
sentiment,0,0.0,1.0
sentiment,2,1.0,0.0
sentiment,4,1.0,0.0
sentiment,6,1.0,0.0
sentiment,8,1.0,0.0
sentiment,10,1.0,0.0
sentiment,12,1.0,0.0
sentiment,14,1.0,0.0
sentiment,16,1.0,0.0
sentiment,18,1.0,0.0
sentiment,20,1.0,0.0
sentiment,22,1.0,0.0
sentiment,24,1.0,0.0
sentiment,26,1.0,0.0
antonym,0,0.0,1.0
antonym,2,0.8666666666666667,0.1333333333333333
antonym,4,1.0,0.0
antonym,6,1.0,0.0
antonym,8,1.0,0.0
antonym,10,1.0,0.0
antonym,12,1.0,0.0
antonym,14,1.0,0.0
antonym,16,1.0,0.0
antonym,18,1.0,0.0
antonym,20,1.0,0.0
antonym,22,1.0,0.0
antonym,24,1.0,0.0
antonym,26,1.0,0.0
pattern_completion,0,0.0,1.0
pattern_completion,2,0.9333333333333333,0.06666666666666665
pattern_completion,4,0.9333333333333333,0.06666666666666665
pattern_completion,6,1.0,0.0
pattern_completion,8,1.0,0.0
pattern_completion,10,0.9333333333333333,0.06666666666666665
pattern_completion,12,0.9333333333333333,0.06666666666666665
pattern_completion,14,1.0,0.0
pattern_completion,16,1.0,0.0
pattern_completion,18,1.0,0.0
pattern_completion,20,1.0,0.0
pattern_completion,22,1.0,0.0
pattern_completion,24,1.0,0.0
pattern_completion,26,1.0,0.0
