source,target,cosine_similarity,euclidean_distance,transfer_rate
uppercase,first_letter,0.6669,4.3174,0.0
uppercase,repeat_word,0.9572,6.4374,0.9
uppercase,length,0.6669,4.3174,0.8
uppercase,linear_2x,0.7618,3.731,1.0
uppercase,sentiment,0.9682,3.3207,0.0
uppercase,antonym,0.9556,1.7339,0.0
uppercase,pattern_completion,0.4401,5.7332,0.0
first_letter,uppercase,0.6669,4.3174,0.0
first_letter,repeat_word,0.599,10.2956,0.0
first_letter,length,0.8016,1.4142,0.0
first_letter,linear_2x,0.7257,2.0785,0.0
first_letter,sentiment,0.6543,7.0661,0.2
first_letter,antonym,0.7955,3.1264,0.0
first_letter,pattern_completion,0.6671,4.2057,0.1
repeat_word,uppercase,0.9572,6.4374,0.0
repeat_word,first_letter,0.599,10.2956,0.0
repeat_word,length,0.5602,10.3923,1.0
repeat_word,linear_2x,0.6956,9.6291,0.5
repeat_word,sentiment,0.9889,3.4745,0.0
repeat_word,antonym,0.9536,7.2287,0.0
repeat_word,pattern_completion,0.2966,11.1375,0.0
length,uppercase,0.6669,4.3174,1.0
length,first_letter,0.8016,1.4142,0.0
length,repeat_word,0.5602,10.3923,0.5
length,linear_2x,0.8732,1.5232,0.0
length,sentiment,0.6008,7.2063,0.0
length,antonym,0.6986,3.4314,0.0
length,pattern_completion,0.6837,4.1579,0.0
linear_2x,uppercase,0.7618,3.731,0.0
linear_2x,first_letter,0.7257,2.0785,0.0
linear_2x,repeat_word,0.6956,9.6291,0.0
linear_2x,length,0.8732,1.5232,0.0
linear_2x,sentiment,0.7023,6.5688,0.0
linear_2x,antonym,0.8009,2.8338,0.0
linear_2x,pattern_completion,0.555,4.4561,0.0
sentiment,uppercase,0.9682,3.3207,0.0
sentiment,first_letter,0.6543,7.0661,0.1
sentiment,repeat_word,0.9889,3.4745,0.0
sentiment,length,0.6008,7.2063,0.2
sentiment,linear_2x,0.7023,6.5688,0.0
sentiment,antonym,0.9724,4.0009,0.0
sentiment,pattern_completion,0.3392,8.2334,0.0
antonym,uppercase,0.9556,1.7339,0.0
antonym,first_letter,0.7955,3.1264,0.0
antonym,repeat_word,0.9536,7.2287,0.0
antonym,length,0.6986,3.4314,0.0
antonym,linear_2x,0.8009,2.8338,0.0
antonym,sentiment,0.9724,4.0009,0.0
antonym,pattern_completion,0.4512,5.2554,0.0
pattern_completion,uppercase,0.4401,5.7332,0.0
pattern_completion,first_letter,0.6671,4.2057,0.3
pattern_completion,repeat_word,0.2966,11.1375,0.0
pattern_completion,length,0.6837,4.1579,0.0
pattern_completion,linear_2x,0.555,4.4561,0.0
pattern_completion,sentiment,0.3392,8.2334,0.0
pattern_completion,antonym,0.4512,5.2554,0.3
