source,target,condition,transfer_rate,preserve_rate,neither_rate
uppercase,first_letter,true_source,0.0,0.0,1.0
uppercase,first_letter,random_source,0.0,0.05,0.95
uppercase,first_letter,shuffled_positions,0.0,0.0,1.0
uppercase,first_letter,magnitude_noise,0.0,0.0,1.0
uppercase,repeat_word,true_source,0.95,0.0,0.05
uppercase,repeat_word,random_source,0.0,0.0,1.0
uppercase,repeat_word,shuffled_positions,0.55,0.0,0.45
uppercase,repeat_word,magnitude_noise,0.0,0.0,1.0
first_letter,repeat_word,true_source,0.0,0.4,0.6
first_letter,repeat_word,random_source,0.0,0.0,1.0
first_letter,repeat_word,shuffled_positions,0.0,0.95,0.05
first_letter,repeat_word,magnitude_noise,0.0,0.25,0.75
uppercase,sentiment,true_source,0.0,0.0,1.0
uppercase,sentiment,random_source,0.0,0.0,1.0
uppercase,sentiment,shuffled_positions,0.0,0.0,1.0
uppercase,sentiment,magnitude_noise,0.0,0.0,1.0
linear_2x,length,true_source,0.0,0.0,1.0
linear_2x,length,random_source,0.0,0.0,1.0
linear_2x,length,shuffled_positions,0.0,0.05,0.95
linear_2x,length,magnitude_noise,0.0,0.0,1.0
sentiment,antonym,true_source,0.1,0.75,0.15
sentiment,antonym,random_source,0.0,0.0,1.0
sentiment,antonym,shuffled_positions,0.0,0.9,0.1
sentiment,antonym,magnitude_noise,0.0,0.05,0.95
