source,target,layer,n_positions,transfer_rate,preserve_rate,neither_rate
uppercase,first_letter,8,34,0.0,0.0,1.0
uppercase,repeat_word,8,34,0.9,0.0,0.1
uppercase,length,8,34,0.8,0.2,0.0
uppercase,linear_2x,8,34,1.0,0.0,0.0
uppercase,sentiment,8,34,0.0,0.0,1.0
uppercase,antonym,8,34,0.0,0.0,1.0
uppercase,pattern_completion,8,34,0.0,0.7,0.3
first_letter,uppercase,8,30,0.0,0.9,0.1
first_letter,repeat_word,8,30,0.0,0.4,0.6
first_letter,length,8,30,0.0,0.6,0.4
first_letter,linear_2x,8,30,0.0,0.3,0.7
first_letter,sentiment,8,30,0.2,0.8,0.0
first_letter,antonym,8,30,0.0,1.0,0.0
first_letter,pattern_completion,8,30,0.1,0.9,0.0
repeat_word,uppercase,8,35,0.0,0.0,1.0
repeat_word,first_letter,8,35,0.0,0.0,1.0
repeat_word,length,8,35,1.0,0.0,0.0
repeat_word,linear_2x,8,35,0.5,0.5,0.0
repeat_word,sentiment,8,35,0.0,0.5,0.5
repeat_word,antonym,8,35,0.0,0.0,1.0
repeat_word,pattern_completion,8,35,0.0,0.9,0.1
length,uppercase,8,35,1.0,0.0,0.0
length,first_letter,8,35,0.0,0.0,1.0
length,repeat_word,8,35,0.5,0.3,0.2
length,linear_2x,8,35,0.0,0.0,1.0
length,sentiment,8,35,0.0,0.4,0.6
length,antonym,8,35,0.0,0.0,1.0
length,pattern_completion,8,35,0.0,1.0,0.0
linear_2x,uppercase,8,40,0.0,0.0,1.0
linear_2x,first_letter,8,40,0.0,0.0,1.0
linear_2x,repeat_word,8,40,0.0,0.0,1.0
linear_2x,length,8,40,0.0,0.0,1.0
linear_2x,sentiment,8,40,0.0,0.0,1.0
linear_2x,antonym,8,40,0.0,0.0,1.0
linear_2x,pattern_completion,8,40,0.0,0.7,0.3
sentiment,uppercase,8,30,0.0,0.9,0.1
sentiment,first_letter,8,30,0.1,0.7,0.2
sentiment,repeat_word,8,30,0.0,0.9,0.1
sentiment,length,8,30,0.2,0.0,0.8
sentiment,linear_2x,8,30,0.0,0.4,0.6
sentiment,antonym,8,30,0.0,0.7,0.3
sentiment,pattern_completion,8,30,0.0,0.9,0.1
antonym,uppercase,8,30,0.0,0.6,0.4
antonym,first_letter,8,30,0.0,0.1,0.9
antonym,repeat_word,8,30,0.0,0.7,0.3
antonym,length,8,30,0.0,0.1,0.9
antonym,linear_2x,8,30,0.0,0.4,0.6
antonym,sentiment,8,30,0.0,0.5,0.5
antonym,pattern_completion,8,30,0.0,0.9,0.1
pattern_completion,uppercase,8,56,0.0,0.0,1.0
pattern_completion,first_letter,8,56,0.3,0.0,0.7
pattern_completion,repeat_word,8,56,0.0,0.0,1.0
pattern_completion,length,8,56,0.0,0.0,1.0
pattern_completion,linear_2x,8,56,0.0,0.0,1.0
pattern_completion,sentiment,8,56,0.0,0.0,1.0
pattern_completion,antonym,8,56,0.3,0.0,0.7
