pair,layer,transfer_rate,preserve_rate,n_positions
repeat_n_repeat_word,4,0.0,0.0,49
repeat_n_repeat_word,6,0.0,0.0,49
repeat_n_repeat_word,8,0.0,0.0,49
repeat_n_repeat_word,10,0.0,0.0,49
repeat_n_repeat_word,12,0.0,0.0,49
repeat_n_repeat_word,15,0.0,0.0,49
repeat_word_repeat_n,4,0.0,1.0,35
repeat_word_repeat_n,6,0.0,0.9333333333333333,35
repeat_word_repeat_n,8,0.0,1.0,35
repeat_word_repeat_n,10,0.0,1.0,35
repeat_word_repeat_n,12,0.0,1.0,35
repeat_word_repeat_n,15,0.0,1.0,35
uppercase_repeat_n,4,0.0,0.6666666666666666,34
uppercase_repeat_n,6,0.0,0.3333333333333333,34
uppercase_repeat_n,8,0.0,0.0,34
uppercase_repeat_n,10,0.0,0.0,34
uppercase_repeat_n,12,0.0,0.06666666666666667,34
uppercase_repeat_n,15,0.0,1.0,34
repeat_n_uppercase,4,0.0,0.0,49
repeat_n_uppercase,6,0.0,0.0,49
repeat_n_uppercase,8,0.0,0.0,49
repeat_n_uppercase,10,0.0,0.0,49
repeat_n_uppercase,12,0.0,0.0,49
repeat_n_uppercase,15,0.0,0.0,49
spell_out_length,4,0.0,0.26666666666666666,35
spell_out_length,6,0.0,0.13333333333333333,35
spell_out_length,8,0.0,0.3333333333333333,35
spell_out_length,10,0.0,0.06666666666666667,35
spell_out_length,12,0.0,0.8666666666666667,35
spell_out_length,15,0.0,1.0,35
length_spell_out,4,0.13333333333333333,0.0,35
length_spell_out,6,0.13333333333333333,0.13333333333333333,35
length_spell_out,8,0.0,0.2,35
length_spell_out,10,0.0,0.26666666666666666,35
length_spell_out,12,0.0,0.3333333333333333,35
length_spell_out,15,0.0,1.0,35
