pair,alpha,task_a_prob,task_b_prob,neither_prob
uppercase_first_letter,0.0,1.0,0.0,0.0
uppercase_first_letter,0.1,1.0,0.0,0.0
uppercase_first_letter,0.2,1.0,0.0,0.0
uppercase_first_letter,0.3,1.0,0.0,0.0
uppercase_first_letter,0.4,1.0,0.0,0.0
uppercase_first_letter,0.5,1.0,0.0,0.0
uppercase_first_letter,0.6,1.0,0.0,0.0
uppercase_first_letter,0.7,1.0,0.0,0.0
uppercase_first_letter,0.8,1.0,0.0,0.0
uppercase_first_letter,0.9,1.0,0.0,0.0
uppercase_first_letter,1.0,1.0,0.0,0.0
uppercase_sentiment,0.0,1.0,0.0,0.0
uppercase_sentiment,0.1,1.0,0.0,0.0
uppercase_sentiment,0.2,1.0,0.0,0.0
uppercase_sentiment,0.3,1.0,0.0,0.0
uppercase_sentiment,0.4,1.0,0.0,0.0
uppercase_sentiment,0.5,1.0,0.0,0.0
uppercase_sentiment,0.6,1.0,0.0,0.0
uppercase_sentiment,0.7,1.0,0.0,0.0
uppercase_sentiment,0.8,1.0,0.0,0.0
uppercase_sentiment,0.9,1.0,0.0,0.0
uppercase_sentiment,1.0,1.0,0.0,0.0
linear_2x_length,0.0,1.0,0.0,0.0
linear_2x_length,0.1,1.0,0.0,0.0
linear_2x_length,0.2,1.0,0.0,0.0
linear_2x_length,0.3,1.0,0.0,0.0
linear_2x_length,0.4,1.0,0.0,0.0
linear_2x_length,0.5,1.0,0.0,0.0
linear_2x_length,0.6,1.0,0.0,0.0
linear_2x_length,0.7,1.0,0.0,0.0
linear_2x_length,0.8,1.0,0.0,0.0
linear_2x_length,0.9,1.0,0.0,0.0
linear_2x_length,1.0,1.0,0.0,0.0
sentiment_antonym,0.0,1.0,0.0,0.0
sentiment_antonym,0.1,1.0,0.0,0.0
sentiment_antonym,0.2,1.0,0.0,0.0
sentiment_antonym,0.3,1.0,0.0,0.0
sentiment_antonym,0.4,1.0,0.0,0.0
sentiment_antonym,0.5,1.0,0.0,0.0
sentiment_antonym,0.6,1.0,0.0,0.0
sentiment_antonym,0.7,1.0,0.0,0.0
sentiment_antonym,0.8,1.0,0.0,0.0
sentiment_antonym,0.9,1.0,0.0,0.0
sentiment_antonym,1.0,1.0,0.0,0.0
pattern_completion_uppercase,0.0,1.0,0.0,0.0
pattern_completion_uppercase,0.1,1.0,0.0,0.0
pattern_completion_uppercase,0.2,1.0,0.0,0.0
pattern_completion_uppercase,0.3,1.0,0.0,0.0
pattern_completion_uppercase,0.4,1.0,0.0,0.0
pattern_completion_uppercase,0.5,1.0,0.0,0.0
pattern_completion_uppercase,0.6,1.0,0.0,0.0
pattern_completion_uppercase,0.7,1.0,0.0,0.0
pattern_completion_uppercase,0.8,1.0,0.0,0.0
pattern_completion_uppercase,0.9,1.0,0.0,0.0
pattern_completion_uppercase,1.0,1.0,0.0,0.0
linear_2x_sentiment,0.0,1.0,0.0,0.0
linear_2x_sentiment,0.1,1.0,0.0,0.0
linear_2x_sentiment,0.2,1.0,0.0,0.0
linear_2x_sentiment,0.3,1.0,0.0,0.0
linear_2x_sentiment,0.4,1.0,0.0,0.0
linear_2x_sentiment,0.5,1.0,0.0,0.0
linear_2x_sentiment,0.6,1.0,0.0,0.0
linear_2x_sentiment,0.7,1.0,0.0,0.0
linear_2x_sentiment,0.8,1.0,0.0,0.0
linear_2x_sentiment,0.9,1.0,0.0,0.0
linear_2x_sentiment,1.0,1.0,0.0,0.0
