pair,layer,transfer_rate,preserve_rate,neither_rate
uppercase_sentiment,0,0.0,0.7,0.3
uppercase_sentiment,4,0.0,0.4,0.6
uppercase_sentiment,8,0.0,1.0,0.0
uppercase_sentiment,10,0.0,1.0,0.0
uppercase_sentiment,11,0.0,1.0,0.0
uppercase_sentiment,12,0.0,1.0,0.0
uppercase_sentiment,13,0.0,1.0,0.0
uppercase_sentiment,14,0.0,1.0,0.0
uppercase_sentiment,16,0.0,1.0,0.0
uppercase_sentiment,20,0.0,1.0,0.0
uppercase_sentiment,24,0.0,1.0,0.0
uppercase_sentiment,27,0.0,1.0,0.0
linear_2x_uppercase,0,0.0,1.0,0.0
linear_2x_uppercase,4,0.0,1.0,0.0
linear_2x_uppercase,8,0.0,1.0,0.0
linear_2x_uppercase,10,0.0,1.0,0.0
linear_2x_uppercase,11,0.0,1.0,0.0
linear_2x_uppercase,12,0.0,1.0,0.0
linear_2x_uppercase,13,0.0,0.7,0.3
linear_2x_uppercase,14,0.0,0.3,0.7
linear_2x_uppercase,16,0.0,0.5,0.5
linear_2x_uppercase,20,0.0,1.0,0.0
linear_2x_uppercase,24,0.0,1.0,0.0
linear_2x_uppercase,27,0.0,1.0,0.0
sentiment_first_letter,0,0.0,0.1,0.9
sentiment_first_letter,4,0.0,0.2,0.8
sentiment_first_letter,8,0.0,0.2,0.8
sentiment_first_letter,10,0.0,0.1,0.9
sentiment_first_letter,11,0.0,0.0,1.0
sentiment_first_letter,12,0.0,0.0,1.0
sentiment_first_letter,13,0.0,0.1,0.9
sentiment_first_letter,14,0.0,0.5,0.5
sentiment_first_letter,16,0.0,1.0,0.0
sentiment_first_letter,20,0.0,1.0,0.0
sentiment_first_letter,24,0.0,1.0,0.0
sentiment_first_letter,27,0.0,1.0,0.0
pattern_completion_length,0,0.0,1.0,0.0
pattern_completion_length,4,0.0,1.0,0.0
pattern_completion_length,8,0.0,1.0,0.0
pattern_completion_length,10,0.0,1.0,0.0
pattern_completion_length,11,0.0,1.0,0.0
pattern_completion_length,12,0.0,1.0,0.0
pattern_completion_length,13,0.0,1.0,0.0
pattern_completion_length,14,0.0,1.0,0.0
pattern_completion_length,16,0.0,1.0,0.0
pattern_completion_length,20,0.0,1.0,0.0
pattern_completion_length,24,0.0,1.0,0.0
pattern_completion_length,27,0.0,1.0,0.0
antonym_repeat_word,0,0.0,0.9,0.1
antonym_repeat_word,4,0.0,0.0,1.0
antonym_repeat_word,8,0.0,0.0,1.0
antonym_repeat_word,10,0.0,0.0,1.0
antonym_repeat_word,11,0.0,0.0,1.0
antonym_repeat_word,12,0.0,0.2,0.8
antonym_repeat_word,13,0.0,0.1,0.9
antonym_repeat_word,14,0.0,0.1,0.9
antonym_repeat_word,16,0.0,0.3,0.7
antonym_repeat_word,20,0.0,0.7,0.3
antonym_repeat_word,24,0.0,1.0,0.0
antonym_repeat_word,27,0.0,1.0,0.0
first_letter_linear_2x,0,0.0,0.0,1.0
first_letter_linear_2x,4,0.0,0.7,0.3
first_letter_linear_2x,8,0.0,1.0,0.0
first_letter_linear_2x,10,0.0,1.0,0.0
first_letter_linear_2x,11,0.0,1.0,0.0
first_letter_linear_2x,12,0.0,1.0,0.0
first_letter_linear_2x,13,0.0,1.0,0.0
first_letter_linear_2x,14,0.0,1.0,0.0
first_letter_linear_2x,16,0.0,1.0,0.0
first_letter_linear_2x,20,0.0,1.0,0.0
first_letter_linear_2x,24,0.0,1.0,0.0
first_letter_linear_2x,27,0.0,1.0,0.0
